BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
4,12131,46,151-75 135 AVENUE,294.0,6007,1.0,2.0,1750,50.0,21.0,A1,3000,100.11,30.0,0,1750,0,0,0,0,0,1.0,1,2002,,,false,1,0.58,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.9666666666666667,2003,0.11,1956,1
4,13511,16,143-80 231 STREET,680.0,2008,1.0,2.0,2162,47.0,23.0,B2,3998,100.0,38.19,0,2162,0,0,0,0,0,2.0,2,2002,,,true,1,0.54,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.9000000000000001,2003,0.12,1945,1
4,13712,41,231-17 148 AVENUE,694.0,2001,1.0,2.0,2151,52.5,22.0,B2,3693,100.0,33.0,0,2151,0,0,0,0,0,2.0,2,2002,,,false,1,0.58,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.9666666666666667,2003,0.2,1957,1
5,796,29,22 HAROLD STREET,187.02,3009,1.0,2.0,1600,50.0,15.0,B2,3613,120.0,30.0,0,1600,0,0,0,0,0,2.0,2,2002,,,false,1,0.44,0.6,,3,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.7333333333333334,2003,0.11,1955,1
5,821,48,311 HAROLD STREET,189.02,3007,1.0,2.0,1020,40.0,14.0,A5,2300,100.0,60.0,0,1020,0,0,0,0,0,1.0,1,2002,,,false,1,0.44,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.7333333333333334,2003,0.33,1930,1
5,3109,33,26 MILLS AVENUE,74.0,1003,1.0,2.0,1480,40.0,18.0,B2,2800,112.0,25.0,0,1480,0,0,0,0,0,2.0,2,2002,,,false,1,0.53,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.8833333333333334,2003,0.17,1955,1
5,3113,5,115 WALLACE AVENUE,74.0,1001,1.0,2.0,2064,30.0,36.0,B1,5000,125.0,40.0,0,2064,0,0,0,0,0,2.0,2,2002,,,true,1,0.41,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.6833333333333333,2003,0.23,1920,1
5,3124,23,19 DOTY AVENUE,74.0,2015,1.0,3.0,1840,40.0,17.0,B9,2450,98.0,25.0,0,1360,0,0,0,0,0,2.0,2,2002,,,false,1,0.75,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,1.25,2003,0.21,1986,1
5,3124,253,147 JACKSON AVENUE,74.0,2015,1.0,2.0,1640,35.0,28.0,B2,2636,73.0,36.0,0,1640,0,0,0,0,0,2.0,2,2002,,,false,1,0.62,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,1.0333333333333334,2003,0.28,1915,1
5,3738,11,1228 MASON AVENUE,112.02,1006,1.0,2.0,1200,40.0,15.0,A5,1760,88.0,20.0,0,1200,0,0,0,0,0,1.0,1,2002,,,false,1,0.68,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,1.1333333333333335,2003,0.08,1945,1
5,3800,9,242 FREEBORN STREET,112.02,3006,1.0,2.0,1050,35.0,15.0,A5,1750,50.0,35.0,0,1050,0,0,0,0,0,1.0,1,2002,,,false,1,0.6,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,1.0,2003,,2002,0
5,3809,35,153 BADEN PLACE,112.02,3008,1.0,2.0,1600,40.0,12.0,A5,2000,100.0,20.0,0,1200,0,0,0,0,0,1.0,1,2002,,,false,1,0.8,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,1.3333333333333335,2003,0.3,1930,1
5,4040,24,132 CUBA AVENUE,128.04,1012,1.0,2.0,1226,40.0,16.0,B9,2525,101.0,25.0,0,1226,0,0,0,0,0,2.0,2,2002,,,false,1,0.49,0.6,,5,R3-1,,,,,2017,21,0.5,0.1,0.0,0.0,1.0,0.6,0.5,0.5,0.6,0.5,1.6,1.5,1.5,1.5,0.8166666666666667,2003,0.07,1925,1
