BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
3,5444,4,4721 17 AVENUE,476.0,2002,1.0,3.0,8700,60.0,50.0,B1,5000,100.0,50.0,0,8700,0,0,0,0,0,2.0,2,2006,2001.0,,true,1,1.74,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.392,2003,0.61,1925,0
3,6444,16,199 BAY 26 STREET,286.0,4002,1.0,3.0,3720,62.0,20.0,C0,1933,96.67,20.0,0,3720,0,0,0,0,0,3.0,3,2001,,,false,2,1.92,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.536,2003,0.8,1899,1
3,7161,26,2352 WEST 12 STREET,382.0,1001,1.0,3.0,3960,60.0,22.0,C0,3000,100.0,30.0,0,3960,0,0,0,0,0,3.0,3,2002,,,false,2,1.32,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.056,2003,0.53,1925,1
4,608,42,34-34 32 STREET,57.0,2001,1.0,3.0,4000,50.0,20.0,C3,2500,100.0,25.0,0,4000,0,0,0,0,0,4.0,4,2002,,,false,2,1.6,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.28,2003,0.28,1920,1
4,1569,24,42-32 GLEANE STREET,467.0,4000,1.0,3.0,3060,60.0,17.0,C0,2500,100.0,25.0,0,3060,0,0,0,0,0,3.0,3,2002,2002.0,,false,2,1.22,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,0.976,2003,0.45,1935,1
4,9086,33,84-23 103 AVENUE,52.0,1005,1.0,4.0,17021,65.0,56.0,C1,11047,146.79,76.67,0,17021,0,0,0,0,0,18.0,18,2002,,,true,2,1.54,1.25,,5,R5,R4-1,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.232,2003,0.04,1910,1
4,10828,35,197-31 HIAWATHA AVENUE,500.0,1004,1.0,3.0,6732,34.0,55.0,C0,2475,59.98,34.81,0,6732,0,0,0,0,0,3.0,3,2001,,,true,2,2.72,1.25,,3,R5,,,,C2-2,2017,21,1.25,0.0,0.0,1.0,2.0,1.25,1.25,2.25,2.25,2.25,3.25,3.25,4.25,4.25,2.176,2003,,2001,0
3,4079,14,649 WARWICK STREET,1124.0,1000,1.0,3.0,2007,35.0,19.11,C0,1800,90.0,20.0,0,2007,0,0,0,0,0,3.0,3,2002,,,false,2,1.12,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,0.8960000000000001,2004,1.11,1930,1
3,5443,34,1662 47 STREET,476.0,3003,1.0,3.0,6750,75.0,30.0,B1,4007,100.17,40.0,0,6750,0,0,0,0,0,2.0,2,2006,,,false,1,1.68,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.3439999999999999,2004,0.55,1925,0
3,5454,60,1669 50 STREET,474.0,2001,1.0,3.0,5568,58.0,32.0,A3,4007,100.17,40.0,0,5568,0,0,0,0,0,1.0,1,2003,,,false,1,1.39,1.25,,5,R5,,,,,2017,21,1.25,0.0,0.0,0.0,2.0,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,1.1119999999999999,2004,0.64,1920,1
