BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
4,9669,12,135-32 COOLIDGE AVENUE,220.01,2005,1.0,6.0,43099,60.0,100.0,D1,10096,100.48,100.8,12000,31099,0,0,5500,6500,0,42.0,42,2003,,,false,3,4.27,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.135,2004,0.29,1955,1
4,1282,43,69-08 37 ROAD,263.0,1005,1.0,5.0,7500,60.0,25.0,C3,2125,85.0,25.0,0,7500,0,0,0,0,0,4.0,4,2004,1998.0,,false,2,3.53,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.765,2005,1.39,1935,1
4,1311,75,41-68 72 STREET,265.0,2003,1.0,4.0,5500,55.0,25.0,S5,2500,100.0,25.0,900,4600,0,0,0,0,0,6.0,7,2004,,,false,4,2.2,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.1,2005,0.51,1910,1
4,793,52,23-35 STEINWAY STREET,137.0,1011,1.0,3.0,6816,55.79,17.73,S9,2016,66.01,17.73,3408,3408,3408,0,0,0,0,4.0,6,2004,,,true,4,3.38,2.0,,4,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.69,2006,3.1,2004,0
4,1301,16,40-23 69 STREET,263.0,2001,1.0,4.0,4400,51.0,20.0,S5,1700,85.03,20.0,1100,3300,0,0,0,0,0,5.0,6,2006,,,false,4,2.59,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.295,2007,1.12,1920,1
4,1310,13,41-39 70 STREET,265.0,2004,1.0,4.0,4890,49.0,20.0,C3,2000,100.0,20.0,200,4690,0,0,200,0,0,4.0,4,2005,,,false,2,2.45,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.225,2007,0.68,1915,1
4,4954,35,32-18 UNION STREET,889.01,7000,1.0,4.0,6607,66.0,25.0,C1,2075,83.0,25.0,0,6607,0,0,0,0,0,8.0,8,2005,2005.0,,false,2,3.18,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.59,2007,0.78,1901,1
4,9713,159,141-15 84 DRIVE,220.02,3001,1.0,5.0,5914,60.0,20.0,C7,2438,125.0,22.0,505,5409,0,0,0,0,0,7.0,8,2010,2007.0,,true,4,2.43,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.215,2009,0.38,1925,1
4,10129,21,106-28 GUY R BREWER BLVD,254.0,2003,1.0,2.0,2016,63.0,16.0,B1,1840,115.0,16.0,0,2016,0,0,0,0,0,2.0,2,2006,,,false,1,1.1,2.0,,5,R5D,R4,,,C1-4,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.55,2009,1.81,2006,0
4,11994,17,115-39 149 STREET,190.0,1004,1.0,2.0,2039,60.0,18.0,B2,3365,125.67,18.25,0,2039,0,0,0,0,0,2.0,2,2007,,,true,1,0.61,2.0,,5,R5D,R3A,,,C2-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.305,2009,0.46,1931,1
4,1299,52,40-44 68 STREET,263.0,2003,1.0,4.0,5156,52.5,20.0,C3,2000,100.0,20.0,0,5156,0,0,0,0,0,4.0,4,2007,,,false,2,2.58,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.29,2010,0.73,1925,1
4,1311,19,41-39 71 STREET,265.0,2003,1.0,4.0,5335,39.17,25.0,C3,1942,77.68,25.0,0,5335,0,0,0,0,0,4.0,4,2009,,,false,2,2.75,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.375,2010,0.7,1901,1
4,9669,30,135-23 82 AVENUE,220.01,2005,1.0,6.0,30766,68.0,75.0,D1,7125,95.0,75.0,0,30766,0,0,0,0,0,27.0,27,2009,,,false,3,4.32,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.16,2010,0.22,1955,1
4,10120,31,150-31 107 AVENUE,254.0,5005,1.0,3.0,3453,48.5,24.21,C0,1964,97.0,24.21,0,3453,0,0,0,0,0,3.0,3,2007,,,true,2,1.76,2.0,,5,R5D,,,,C2-4,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.88,2011,0.31,1931,1
4,11950,388,147-50 GLASSBORO AVENUE,196.0,1003,1.0,2.0,1730,21.0,43.6,B1,2060,41.0,55.98,0,1730,0,0,0,0,0,2.0,2,2007,,,true,1,0.84,2.0,,3,R5D,,,,C2-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.42,2011,0.36,1933,1
4,1310,77,41-64 71 STREET,265.0,2004,1.0,4.0,9050,58.0,28.0,D1,2900,100.0,29.0,0,9050,0,0,0,0,0,9.0,9,2011,,,false,3,3.12,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.56,2012,0.76,1905,1
4,9713,152,141-27 84 DRIVE,220.02,3001,1.0,4.0,8000,71.5,28.0,C1,3150,105.0,30.0,0,8000,0,0,0,0,0,10.0,10,2010,2007.0,,false,2,2.54,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.27,2012,0.55,1930,1
4,1282,64,69-17 38 AVENUE,263.0,1005,1.0,4.0,7010,35.0,40.0,C1,6950,139.0,50.0,1402,5608,1402,0,0,0,0,8.0,9,2012,,,true,2,1.01,2.0,,3,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.505,2013,0.29,1910,1
4,854,40,26-18 23 AVENUE,97.0,4000,1.0,4.0,5397,50.0,25.0,S5,2500,100.0,25.0,489,4908,0,0,0,0,0,5.0,6,2014,,,false,4,2.16,2.0,,5,R5D,,,,C1-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1.08,2016,0.86,1930,1
2,4676,3,871 EAST 217 STREET,390.0,1001,1.0,4.0,10119,66.31,41.0,D7,5713,114.25,50.0,464,9655,0,0,0,0,0,13.0,14,2015,,,false,4,1.77,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.885,2017,0.23,1925,1
3,8146,56,1322 ROCKAWAY PARKWAY,970.0,1004,1.0,2.0,2200,55.0,20.0,B2,3225,125.0,25.8,0,2200,0,0,0,0,0,2.0,2,2003,,,false,1,0.68,2.0,,5,R5D,R4-1,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.34,,,,
3,8185,24,1465 ROCKAWAY PARKWAY,974.0,2007,1.0,3.0,5072,100.0,25.0,S2,2539,100.0,24.87,2534,2538,0,2534,0,0,0,2.0,3,2014,,,true,4,2.0,2.0,,5,R5D,,,,C1-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1.0,,,,
3,8199,38,1173 EAST 91 STREET,966.0,1000,1.0,2.0,1800,30.0,20.0,A5,1500,50.0,30.0,0,1800,0,0,0,0,0,1.0,1,2006,,,false,1,1.2,2.0,,5,R5D,,,,C2-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.6,,,,
3,8199,39,1171 EAST 91 STREET,966.0,1000,1.0,2.0,1800,30.0,20.0,A5,1500,50.0,30.0,0,1800,0,0,0,0,0,1.0,1,2006,,,false,1,1.2,2.0,,5,R5D,,,,C2-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.6,,,,
3,8242,73,1734 ROCKAWAY PARKWAY,990.0,1003,1.0,3.0,5012,46.0,27.0,S2,1503,53.58,28.0,1253,3759,0,1253,0,0,0,2.0,3,2006,,,true,4,3.33,2.0,,5,R5D,R4A,,,C2-3,2017,21,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1.665,,,,
2,4676,5,869 EAST 217 STREET,390.0,1001,1.0,4.0,9397,75.0,25.0,C1,2856,114.25,25.0,0,9397,0,0,0,0,0,8.0,8,2003,,,false,2,3.29,2.0,,5,R5D,R5,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.645,,,,
2,4682,34,3530 BRONXWOOD AVENUE,368.0,2001,1.0,2.0,1953,23.0,42.5,B1,2205,59.46,42.54,0,1953,0,0,0,0,0,2.0,2,2003,,,true,1,0.89,2.0,,3,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.445,,,,
2,4683,197,917 TILDEN STREET,382.0,1003,1.0,3.0,3060,58.88,16.49,B1,2805,143.02,26.95,0,3060,0,0,0,0,0,2.0,2,2004,,,true,1,1.09,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.545,,,,
2,4685,31,905 EAST 214 STREET,382.0,1001,1.0,2.0,2040,60.0,17.0,B1,2375,95.0,25.0,0,2040,0,0,0,0,0,2.0,2,2003,,,false,1,0.86,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.43,,,,
2,4685,32,903 EAST 214 STREET,382.0,1001,1.0,2.0,2080,50.0,20.8,B1,1976,95.0,20.8,0,2080,0,0,0,0,0,2.0,2,2003,,,false,1,1.05,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.525,,,,
2,4685,33,901 EAST 214 STREET,382.0,1001,1.0,2.0,2040,60.0,17.0,B1,2565,95.0,27.0,0,2040,0,0,0,0,0,2.0,2,2003,,,false,1,0.8,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.4,,,,
2,4685,41,910 EAST 215 STREET,382.0,1001,1.0,3.0,2790,62.0,15.0,B1,2375,95.0,25.0,0,2790,0,0,0,0,0,2.0,2,2003,,,false,1,1.17,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.585,,,,
2,4694,1,1067 EAST 211 STREET,368.0,1003,1.0,3.0,3552,31.5,37.5,C0,2725,54.5,50.0,0,3552,0,0,0,0,0,3.0,3,2003,,,false,2,1.3,2.0,,3,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.65,,,,
2,4694,5,1065 EAST 211 STREET,368.0,1003,1.0,3.0,3552,31.5,37.5,C0,2275,50.0,45.5,0,3552,0,0,0,0,0,3.0,3,2003,,,false,2,1.56,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.78,,,,
2,4697,46,1052 EAST 215 STREET,382.0,1000,1.0,2.0,2040,50.0,22.0,B1,2375,95.0,25.0,0,2040,0,0,0,0,0,2.0,2,2005,,,false,1,0.86,2.0,,5,R5D,R4,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.43,,,,
2,4697,148,1054 EAST 215 STREET,382.0,1000,1.0,3.0,2106,27.0,26.0,B1,1514,45.0,33.69,0,2106,0,0,0,0,0,2.0,2,2005,,,false,1,1.39,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.695,,,,
2,4697,149,1056 EAST 215 STREET,382.0,1000,1.0,3.0,2106,27.0,26.0,B1,1966,45.0,43.69,0,2106,0,0,0,0,0,2.0,2,2005,,,false,1,1.07,2.0,,3,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.535,,,,
2,4699,1,3709 LACONIA AVENUE,388.0,1002,1.0,3.0,2787,15.5,60.0,C0,2635,95.25,27.67,0,2787,0,0,0,0,0,3.0,3,2005,,,true,2,1.06,2.0,,3,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.53,,,,
2,4706,34,3544 LACONIA AVENUE,368.0,1004,1.0,3.0,2040,60.0,17.0,C0,2500,100.0,25.0,0,2040,0,0,0,0,0,3.0,3,2009,,,false,2,0.82,2.0,,5,R5D,,,,,2017,21,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.41,,,,
