BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
4,6238,34,38-10 CORPORAL STONE ST,1123.0,1009,1.0,3.0,3060,51.0,20.0,C0,3475,139.0,25.0,0,2040,0,0,0,0,0,3.0,3,2003,,,false,2,0.88,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.9777777777777777,2004,0.31,1920,1
4,6283,16,42-11 212 STREET,1467.0,1010,1.0,3.0,3750,50.0,25.0,C0,3009,100.0,30.09,0,3750,0,0,0,0,0,3.0,3,2003,1996.0,,false,2,1.25,0.9,,3,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.3888888888888888,2004,0.37,1955,1
4,9860,98,84-22 169 STREET,454.0,2003,1.0,3.0,3465,55.0,21.0,C0,2966,100.0,29.66,0,3465,0,0,0,0,0,3.0,3,2003,,,false,2,1.17,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2999999999999998,2004,0.36,1930,1
4,15960,51,502 BEACH 43 STREET,972.03,3000,1.0,2.0,2200,50.0,22.0,B1,2850,100.0,30.0,0,2200,0,0,0,0,0,2.0,2,2002,,,false,1,0.77,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.8555555555555555,2004,,2002,0
4,15969,69,417 BEACH 46 STREET,972.03,1008,1.0,2.0,2000,50.0,20.0,B2,2615,95.1,27.5,0,2000,0,0,0,0,0,2.0,2,2003,,,false,1,0.76,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,0.8444444444444444,2004,0.19,1940,1
5,2832,86,35 NEW LANE,6.0,2006,1.0,2.0,2530,55.0,18.0,A5,2400,100.0,24.0,0,1980,0,0,0,0,0,1.0,1,2004,,,true,1,1.05,0.9,,5,R4,R4A,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1666666666666667,2004,0.22,1955,1
3,6430,25,8797 16 AVENUE,174.0,2000,1.0,3.0,3600,60.0,20.0,C0,3241,107.67,30.01,0,3600,0,0,0,0,0,3.0,3,2003,,,false,2,1.11,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2333333333333334,2005,0.45,1915,1
3,7399,53,2361 EAST 14 STREET,586.0,2004,1.0,4.0,8150,58.0,25.0,S9,4000,100.0,40.0,2500,5650,2500,0,0,0,0,3.0,5,2004,,,false,4,2.04,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,2.2666666666666666,2005,0.63,1940,1
3,7437,65,2525 EAST 16 STREET,590.0,1009,1.0,3.0,2880,60.0,16.0,C0,2700,108.33,25.0,0,2880,0,0,0,0,0,3.0,3,2005,,,true,2,1.07,0.9,,5,R4,C8-1,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.1888888888888889,2005,0.59,1910,1
3,7667,34,1327 EAST 31 STREET,746.0,2004,1.0,3.0,2693,52.0,20.0,A9,2933,100.0,29.33,0,2693,0,0,0,0,0,1.0,1,2002,,,false,1,0.92,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0222222222222221,2005,0.45,1930,1
3,7755,34,1173 EAST 51 STREET,722.0,2001,1.0,2.0,2880,80.0,18.0,B1,2500,100.0,25.0,0,2880,0,0,0,0,0,2.0,2,2004,,,false,1,1.15,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2777777777777777,2005,0.52,1925,1
